纪录频道,#genre#
探索发现,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
亚洲旅游,http://211.72.65.236:8513/http/61.67.128.137:8081/hls/76/818/ch61.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
民视旅游,http://litv.zapi.us.kg/?id=litv-ftv07
旅游生活,http://211.72.65.236:8511/http/61.67.128.137:8081/hls/70/812/ch38.m3u8
国家地理,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8 #http://61.221.215.25:8800/hls/57/index.m3u8 #http://61.221.215.25:8800/hls/57/index.m3u8
GLOBETROTTER,https://litv.zapi.us.kg/?id=4gtv-4gtv016
視納華仁紀實頻道,https://litv.zapi.us.kg/?id=4gtv-4gtv013
CCTV9纪录,http://182.92.109.190:1668/migu720/migu720.php?id=cctv9
CCTV10科教,http://182.92.109.190:1668/migu720/migu720.php?id=cctv10
ASC搜索頻英,http://61.221.215.25:8800/hls/50/index.m3u8
Diso綜合頻英,http://61.221.215.25:8800/hls/1/index.m3u8
航拍中国第一季,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8edf3fb6a69148ea9a7dc0b5a9d99fdb/4000.m3u8
航拍中国第二季,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/4000.m3u8
航拍中国第三季,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/18a8a559464448dbaf60d33913e09aea/1200.m3u8
舌尖上的中国第2季,https://www.goodiptv.club/yy/1354930943
舌尖上的中国第2季,https://live.metshop.top/yy/1354930943
收藏,#genre#
美亚电影,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
Pop C 电影,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
Plus 综合台,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
时尚运动X,https://litv.zapi.us.kg/?id=4gtv-4gtv014
博斯无限,https://litv.zapi.us.kg/?id=litv-longturn10
博斯无限2,https://litv.zapi.us.kg/?id=litv-longturn13
博斯运动1,https://litv.zapi.us.kg/?id=litv-longturn07
tvbs欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv068
tvbs,https://litv.zapi.us.kg/?id=4gtv-4gtv073
八大综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv039
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv054
爱尔达娱乐,https://litv.zapi.us.kg/?id=4gtv-4gtv070
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
民视综艺,https://litv.zapi.us.kg/?id=4gtv-4gtv004
热门综艺,http://wouu.net:9977/udp/239.93.0.151:5140
超级综艺,http://112.102.217.173:9003//hls/87/index.m3u8
金牌综艺,http://112.102.217.173:9003//hls/90/index.m3u8
Channel U,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Channel 5,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
中央咪咕,#genre#
CCTV1综合,http://182.92.109.190:1668/migu720/migu720.php?id=cctv1
CCTV2财经,http://182.92.109.190:1668/migu720/migu720.php?id=cctv2
CCTV3综艺,http://182.92.109.190:1668/migu720/migu720.php?id=cctv3
CCTV4中文国际,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4
CCTV4美洲,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4a
CCTV4欧洲,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4o
CCTV5体育,http://182.92.109.190:1668/migu720/migu720.php?id=cctv5
CCTV5+体育赛事,http://182.92.109.190:1668/migu720/migu720.php?id=cctv5p
CCTV6电影,http://182.92.109.190:1668/migu720/migu720.php?id=cctv6
CCTV7国防军事,http://182.92.109.190:1668/migu720/migu720.php?id=cctv7
CCTV8电视剧,http://182.92.109.190:1668/migu720/migu720.php?id=cctv8
CCTV9纪录,http://182.92.109.190:1668/migu720/migu720.php?id=cctv9
CCTV10科教,http://182.92.109.190:1668/migu720/migu720.php?id=cctv10
